season,week,manager,pts,IP,H,ER,BB,K,QS,SV+H,ERA,WHIP,K_per_IP
2021,14,Howard,141.92,44.65,37,21,16,50,3,2,4.232922732,1.187010078,1.119820829
2021,14,Rich,184.16,49.66,34,11,16,59,4,2,1.993556182,1.006846557,1.188078937
2021,14,Rouse,175.34,56.31,56,21,12,53,3,3,3.356419819,1.207600781,0.941218256
2021,14,Dave,130.41,54.66,66,36,23,55,1,2,5.927552141,1.628247347,1.006220271
2021,15,Boyce,275.83,93.32,78,39,22,96,6,0,3.761251607,1.071581655,1.028718388
2021,15,Ulmer,203.91,62.65,53,30,22,66,3,6,4.309656824,1.197126895,1.053471668
2021,15,Garth,202.33,64.66,55,33,32,80,5,2,4.593257037,1.345499536,1.237240953
2021,15,Chris,268.18,96.63,86,41,30,82,7,0,3.818689848,1.200455345,0.848597744
2021,15,Andy,251.16,80.65,71,34,31,71,8,3,3.79417235,1.264724117,0.880347179
2021,15,Sam,243.33,77.33,65,29,21,55,6,6,3.37514548,1.112116902,0.711237553
2021,15,Howard,202.01,67.98,63,31,15,63,4,3,4.104148279,1.147396293,0.92674316
2021,15,Rich,164.42,49.65,46,23,19,61,4,2,4.16918429,1.309164149,1.228600201
2021,15,Rouse,268.41,79.65,79,28,24,97,6,2,3.163841808,1.293157564,1.217827997
2021,15,Dave,211.58,65.32,63,31,28,69,4,5,4.271279853,1.393141457,1.056338028
2021,16,Boyce,186.75,60.97,62,25,19,67,5,0,3.690339511,1.328522224,1.098901099
2021,16,Ulmer,140.5,39.99,35,10,7,41,4,1,2.250562641,1.050262566,1.025256314
2021,16,Garth,179.17,53.65,37,18,19,61,3,2,3.019571295,1.043802423,1.136999068
2021,16,Chris,162.92,55.65,49,21,18,57,3,0,3.396226415,1.203953279,1.02425876
2021,16,Andy,147.25,46.98,50,32,19,55,3,5,6.130268199,1.468710089,1.170710941
2021,16,Sam,178.99,57.99,66,31,16,56,7,2,4.81117434,1.414036903,0.965683739
2021,16,Howard,157.57,58.32,62,38,15,58,2,4,5.864197531,1.320301783,0.994513032
2021,16,Rich,105.75,28.99,26,19,7,40,2,4,5.898585719,1.13832356,1.379786133
2021,16,Rouse,116.66,46.66,53,29,17,41,3,1,5.593656237,1.500214316,0.878696957
2021,16,Dave,202.5,62.98,55,20,21,69,5,0,2.858050175,1.206732296,1.0955859
2021,17,Boyce,182.08,58.33,53,21,16,65,4,0,3.240185153,1.182924739,1.114349391
2021,17,Ulmer,202.84,55.32,53,26,9,69,5,5,4.229934924,1.120751988,1.247288503
2021,17,Garth,198.67,59.65,50,21,26,60,6,2,3.168482816,1.27409891,1.005867561
2021,17,Chris,77,42.99,53,37,15,37,1,0,7.745987439,1.581763201,0.860665271
2021,17,Andy,146.08,47.32,53,22,16,53,4,1,4.184277261,1.458157227,1.120033812
2021,17,Sam,154,49,45,18,13,48,4,1,3.306122449,1.183673469,0.979591837
2021,17,Howard,198.66,55.66,32,17,12,61,6,1,2.748832195,0.790513834,1.095939633
2021,17,Rich,91.59,26.32,23,11,8,35,1,2,3.761398176,1.17781155,1.329787234
2021,17,Rouse,231.99,68.99,56,15,20,66,5,2,1.956805334,1.101608929,0.956660386
2021,17,Dave,188.92,59.64,58,29,17,72,6,0,4.376257545,1.257545272,1.207243461
2021,18,Boyce,123.33,52.32,55,34,27,54,2,0,5.848623853,1.567278287,1.032110092
2021,18,Ulmer,101.83,41.31,30,20,20,36,1,0,4.357298475,1.210360687,0.871459695
2021,18,Garth,158.42,47.64,44,22,15,57,4,2,4.156171285,1.23845508,1.196473552
2021,18,Chris,186.83,63.32,61,32,17,76,4,0,4.548325963,1.231838282,1.200252685
2021,18,Andy,158.16,47.66,35,13,15,46,5,0,2.454888796,1.049097776,0.965169954
2021,18,Sam,96.75,42.99,54,35,11,38,1,3,7.327285415,1.51197953,0.883926495
2021,18,Howard,120.33,48.32,50,32,20,50,3,0,5.960264901,1.448675497,1.034768212
2021,18,Rich,72.83,27.33,35,20,11,31,1,2,6.586169045,1.683132089,1.134284669
2021,18,Rouse,181.17,56.65,45,27,15,65,4,2,4.289496911,1.05913504,1.147396293
2021,18,Dave,167.5,55.99,50,19,14,47,5,0,3.054116807,1.143061261,0.839435614
2021,19,Boyce,194.51,61.97,53,25,15,69,5,0,3.630789091,1.097305148,1.113441988
2021,19,Ulmer,141.5,42,39,22,11,37,2,7,4.714285714,1.19047619,0.880952381
2021,19,Garth,161.09,45.31,37,20,12,50,4,4,3.972632973,1.081438976,1.103509159
2021,19,Chris,162.01,51.98,40,23,14,60,4,0,3.982300885,1.0388611,1.154290112
2021,19,Andy,143.42,51.64,52,21,13,37,5,0,3.659953524,1.258714175,0.716498838
2021,19,Sam,194.83,56.33,50,17,16,46,6,4,2.71613705,1.171666963,0.816616368
2021,19,Howard,146.59,53.32,52,25,21,54,1,2,4.219804951,1.369092273,1.012753188
2021,19,Rich,157.67,37.66,26,4,4,47,3,3,0.955921402,0.796601168,1.248008497
2021,19,Rouse,182.43,58.64,49,23,18,57,5,1,3.530013643,1.142564802,0.972032742
2021,19,Dave,196.58,57.32,41,16,14,51,6,2,2.512212142,0.959525471,0.8897418
2021,20,Boyce,168.5,56,56,28,14,58,6,0,4.5,1.25,1.035714286
2021,20,Ulmer,225.42,58.65,49,17,10,74,6,3,2.608695652,1.005967604,1.26172208
2021,20,Garth,124.34,36.32,28,15,8,40,2,3,3.716960352,0.991189427,1.101321586
2021,20,Chris,217.92,71.64,54,24,19,68,5,0,3.015075377,1.018983808,0.949190396
2021,20,Andy,146.51,49.98,54,21,10,29,6,2,3.781512605,1.280512205,0.580232093
2021,20,Sam,159.91,51.65,47,27,12,51,2,5,4.704743466,1.142303969,0.987415295
2021,20,Howard,168.18,55.64,55,27,15,52,6,1,4.36736161,1.258087707,0.934579439
2021,20,Rich,125.5,29.99,23,5,9,31,2,5,1.500500167,1.067022341,1.033677893
2021,20,Rouse,122.91,45.66,44,21,11,44,2,0,4.139290407,1.20455541,0.963644328
2021,20,Dave,182.5,52.99,44,24,12,65,6,1,4.0762408,1.05680317,1.226646537
2021,21,Boyce,167.42,63.65,63,33,22,69,2,0,4.666142969,1.335428123,1.084053417
2021,21,Ulmer,122.42,41.65,35,22,16,39,2,3,4.753901561,1.224489796,0.93637455
2021,21,Garth,175,52.99,37,21,19,48,4,4,3.5667107,1.05680317,0.905831289
2021,21,Chris,177.66,57.64,49,23,15,64,4,0,3.591256072,1.110340042,1.110340042
2021,21,Andy,139.84,44.31,39,19,15,41,4,2,3.859174001,1.218686527,0.92529903
2021,21,Sam,86.49,39.99,46,31,18,24,2,3,6.976744186,1.6004001,0.600150038
2021,21,Howard,106.09,39.32,44,24,13,38,1,3,5.493387589,1.449643947,0.966429298
2021,21,Rich,147.17,38.65,29,17,11,46,5,3,3.958602846,1.034928849,1.190168176
2021,21,Rouse,113.25,42,56,31,13,42,2,4,6.642857143,1.642857143,1
2021,21,Dave,129.08,48.32,46,28,13,50,3,0,5.215231788,1.22102649,1.034768212
2021,22,Boyce,185.99,54.99,50,17,10,69,4,0,2.782324059,1.091107474,1.254773595
2021,22,Ulmer,180.17,51.65,42,22,10,52,4,5,3.833494676,1.006776379,1.006776379
2021,22,Garth,187.92,52.66,34,16,21,54,6,2,2.734523357,1.044436005,1.025446259
2021,22,Chris,195.91,60.65,44,24,27,73,5,0,3.561417972,1.170651278,1.20362737
2021,22,Andy,102.26,36.97,45,20,12,34,2,2,4.868812551,1.541790641,0.919664593
2021,22,Sam,141.09,46.31,48,19,13,44,3,2,3.692507018,1.317210106,0.950118765
2021,22,Howard,211.42,62.65,50,15,9,52,6,2,2.154828412,0.941739824,0.830007981
2021,22,Rich,69.92,24.65,31,19,6,21,1,4,6.937119675,1.501014199,0.851926978
2021,22,Rouse,176.67,51.65,42,21,22,60,4,3,3.659244918,1.23910939,1.161665053
2021,22,Dave,180.09,66.32,58,38,33,69,5,0,5.15681544,1.372135103,1.040410133
2021,23,Boyce,92.33,35.33,41,22,7,39,2,0,5.604302293,1.358618738,1.103877724
2021,23,Ulmer,207,55.99,32,19,10,56,7,3,3.054116807,0.750133952,1.000178603
2021,23,Garth,146,43,36,17,16,47,4,2,3.558139535,1.209302326,1.093023256
2021,23,Chris,177.17,57.64,53,22,15,78,1,0,3.435114504,1.179736294,1.353226926
2021,23,Andy,174.93,59.63,57,30,16,59,5,1,4.527922187,1.224215999,0.989434848
2021,23,Sam,161.01,54.98,50,26,16,49,3,3,4.256093125,1.200436522,0.891233176
2021,23,Howard,150.67,49.64,39,13,17,45,3,0,2.356970185,1.128122482,0.906526994
2021,23,Rich,127.08,46.31,50,29,15,56,1,2,5.635931764,1.403584539,1.209242064
2021,23,Rouse,116.16,43.66,54,30,18,50,2,2,6.184150252,1.649106734,1.14521301
2021,23,Dave,165.17,50.66,43,14,15,49,5,0,2.487169364,1.144887485,0.967232531
2021,24,Boyce,185.76,67.98,66,33,17,71,3,0,4.368932039,1.220947337,1.044424831
2021,24,Ulmer,206.66,53.65,44,20,26,70,4,6,3.355079217,1.304753029,1.304753029
2021,24,Garth,120.5,49.98,56,39,20,48,4,1,7.022809124,1.520608243,0.960384154
2021,24,Chris,139.34,59.3,70,33,16,57,1,0,5.008431703,1.450252951,0.961214165
2021,24,Andy,144.16,40.66,27,14,15,49,2,3,3.098868667,1.032956222,1.205115593
2021,24,Sam,132.01,44.97,45,24,13,45,2,3,4.803202135,1.289748721,1.000667111
2021,24,Howard,224.67,69.65,55,23,13,62,6,2,2.972002872,0.976310122,0.890165111
2021,24,Rich,105.58,29.33,19,10,12,30,3,2,3.068530515,1.056938288,1.022843505
2021,24,Rouse,142.75,33,26,9,11,48,4,3,2.454545455,1.121212121,1.454545455
2021,24,Dave,142.17,53.65,51,27,23,47,4,0,4.529356943,1.379310345,0.876048462
2022,1,Boyce,268.33,82.31,63,28,26,75,5,0,3.061596404,1.081278095,0.911189406
2022,1,Ulmer,185.26,56.97,46,26,19,68,3,3,4.107424961,1.140951378,1.193610672
2022,1,Garth,182.17,63.64,54,28,26,65,0,4,3.959773727,1.257071025,1.021370207
2022,1,Chris,204.25,70.98,63,33,21,72,0,2,4.184277261,1.183431953,1.014370245
2022,1,Andy,214.91,56.65,52,24,15,66,2,10,3.812886143,1.182700794,1.165048544
2022,1,Sam,191.4,59.65,49,27,20,65,4,3,4.073763621,1.156747695,1.089689858
2022,1,Howard,220.17,69.99,60,24,30,56,2,7,3.086155165,1.285897985,0.800114302
2022,1,Rich,224.58,72.31,56,26,21,62,2,6,3.236066934,1.064859632,0.857419444
2022,1,Rouse,237.09,77.31,65,36,36,93,2,4,4.190919674,1.306428664,1.202949166
2022,1,Dave,300.58,95.32,74,37,35,95,6,4,3.493495594,1.143516576,0.996642887
2022,2,Boyce,161.08,54.32,52,22,19,56,4,0,3.645066274,1.307069219,1.030927835
2022,2,Ulmer,171.25,52.98,43,20,14,53,3,3,3.397508494,1.07587769,1.000377501
2022,2,Garth,168.49,42.98,36,10,12,43,2,7,2.093997208,1.116798511,1.000465333
2022,2,Chris,149.32,55.31,56,28,20,57,3,0,4.556138131,1.374073404,1.030555053
2022,2,Andy,148.91,42.66,32,16,11,42,3,4,3.375527426,1.007969995,0.984528833
2022,2,Sam,156.26,53.98,48,26,11,50,2,3,4.334938866,1.092997406,0.926268989
2022,2,Howard,158.82,45.32,35,13,13,47,3,3,2.581641659,1.05913504,1.037069726
2022,2,Rich,212.92,50.65,40,8,11,56,6,5,1.421520237,1.006910168,1.105626851
2022,2,Rouse,194.17,51.65,37,14,7,62,5,2,2.439496612,0.851887706,1.200387222
2022,2,Dave,171.82,55.32,43,19,21,48,6,0,3.091106291,1.156905278,0.867678959
2022,3,Boyce,195.42,59.65,43,21,22,49,6,3,3.168482816,1.089689858,0.821458508
