season,week,team_id,week_type,playoffs,hitting_points,pitching_points,team_points,manager
2022,10,10,normal,0,264.5,224.34,488.84000000000003,Dave
2022,11,1,normal,0,249.0,166.51,415.51,Boyce
2022,11,2,normal,0,222.0,180.0,402.0,Alex
2022,11,3,normal,0,210.5,113.09,323.59000000000003,Garth
2022,11,4,normal,0,211.0,153.91,364.90999999999997,Chris
2022,11,5,normal,0,179.0,133.25,312.25,Andy
2022,11,6,normal,0,218.0,99.33,317.33,Sam
2022,11,7,normal,0,285.0,143.17000000000002,428.17,Howard
2022,11,8,normal,0,173.5,238.82999999999998,412.33,Rich
2022,11,9,normal,0,285.0,280.84000000000003,565.84,Rouse
2022,11,10,normal,0,210.0,272.5,482.5,Dave
2022,12,1,normal,0,218.0,264.65999999999997,482.65999999999997,Boyce
2022,12,2,normal,0,287.0,244.42000000000002,531.4200000000001,Alex
2022,12,3,normal,0,154.5,219.32999999999998,373.83,Garth
2022,12,4,normal,0,242.0,215.5,457.5,Chris
2022,12,5,normal,0,167.5,118.58,286.08,Andy
2022,12,6,normal,0,210.5,163.75,374.25,Sam
2022,12,7,normal,0,251.5,242.92000000000002,494.42,Howard
2022,12,8,normal,0,185.0,184.16,369.15999999999997,Rich
2022,12,9,normal,0,270.0,198.17000000000002,468.17,Rouse
2022,12,10,normal,0,205.0,207.42000000000002,412.42,Dave
2022,13,1,normal,0,214.5,209.66,424.15999999999997,Boyce
2022,13,2,normal,0,199.0,155.08,354.08000000000004,Alex
2022,13,3,normal,0,200.0,210.17000000000002,410.17,Garth
2022,13,4,normal,0,230.5,182.17000000000002,412.67,Chris
2022,13,5,normal,0,251.5,141.92,393.41999999999996,Andy
2022,13,6,normal,0,181.0,147.59,328.59000000000003,Sam
2022,13,7,normal,0,251.0,190.59,441.59000000000003,Howard
2022,13,8,normal,0,192.0,152.16,344.15999999999997,Rich
2022,13,9,normal,0,270.5,151.07999999999998,421.58,Rouse
2022,13,10,normal,0,228.5,201.34,429.84000000000003,Dave
2022,14,1,normal,0,254.5,185.42,439.91999999999996,Boyce
2022,14,2,normal,0,225.0,211.67000000000002,436.67,Alex
2022,14,3,normal,0,177.0,152.84,329.84000000000003,Garth
2022,14,4,normal,0,193.0,235.07999999999998,428.08,Chris
2022,14,5,normal,0,216.5,94.33,310.83,Andy
2022,14,6,normal,0,190.0,172.0,362.0,Sam
2022,14,7,normal,0,247.0,172.42,419.41999999999996,Howard
2022,14,8,normal,0,225.0,185.75,410.75,Rich
2022,14,9,normal,0,241.5,172.07999999999998,413.58,Rouse
2022,14,10,normal,0,166.5,238.0,404.5,Dave
2022,15,1,long,0,341.5,336.75,678.25,Boyce
2022,15,2,long,0,374.0,297.07,671.0699999999999,Alex
2022,15,3,long,0,256.5,253.68,510.18,Garth
2022,15,4,long,0,321.0,230.0,551.0,Chris
2022,15,5,long,0,351.5,215.17,566.67,Andy
2022,15,6,long,0,291.5,273.5,565.0,Sam
2022,15,7,long,0,361.5,271.92,633.4200000000001,Howard
2022,15,8,long,0,177.5,242.67000000000002,420.17,Rich
2022,15,9,long,0,364.0,278.49,642.49,Rouse
2022,15,10,long,0,311.5,381.17,692.6700000000001,Dave
2022,16,1,normal,0,278.5,205.74,484.24,Boyce
2022,16,2,normal,0,301.0,146.67000000000002,447.67,Alex
2022,16,3,normal,0,139.5,122.42,261.92,Garth
2022,16,4,normal,0,236.0,261.90999999999997,497.90999999999997,Chris
2022,16,5,normal,0,233.5,85.25999999999999,318.76,Andy
2022,16,6,normal,0,306.0,199.26,505.26,Sam
2022,16,7,normal,0,267.5,209.76,477.26,Howard
2022,16,8,normal,0,147.5,151.0,298.5,Rich
2022,16,9,normal,0,181.0,154.57999999999998,335.58,Rouse
2022,16,10,normal,0,185.0,224.32999999999998,409.33,Dave
2022,17,1,normal,0,243.5,172.34,415.84000000000003,Boyce
2022,17,2,normal,0,206.0,179.91,385.90999999999997,Alex
2022,17,3,normal,0,166.0,148.09,314.09000000000003,Garth
2022,17,4,normal,0,211.0,152.42000000000002,363.42,Chris
2022,17,5,normal,0,213.5,199.84,413.34000000000003,Andy
2022,17,6,normal,0,244.5,185.57999999999998,430.08,Sam
2022,17,7,normal,0,215.0,210.42000000000002,425.42,Howard
2022,17,8,normal,0,101.0,157.18,258.18,Rich
2022,17,9,normal,0,191.0,183.25,374.25,Rouse
2022,17,10,normal,0,212.0,202.59,414.59000000000003,Dave
2022,18,1,normal,0,240.0,282.33,522.3299999999999,Boyce
2022,18,2,normal,0,192.5,154.0,346.5,Alex
2022,18,3,normal,0,187.0,177.51,364.51,Garth
2022,18,4,normal,0,225.0,166.41,391.40999999999997,Chris
2022,18,5,normal,0,222.5,124.66,347.15999999999997,Andy
2022,18,6,normal,0,263.0,153.67,416.66999999999996,Sam
2022,18,7,normal,0,273.5,238.76,512.26,Howard
2022,18,8,normal,0,189.0,171.35,360.35,Rich
2022,18,9,normal,0,213.0,150.5,363.5,Rouse
2022,18,10,normal,0,291.5,203.33,494.83000000000004,Dave
2022,19,1,normal,0,154.5,249.17000000000002,403.67,Boyce
2022,19,2,normal,0,184.5,159.41,343.90999999999997,Alex
2022,19,3,normal,0,135.0,168.49,303.49,Garth
2022,19,4,normal,0,241.5,264.25,505.75,Chris
2022,19,5,normal,0,284.5,121.75,406.25,Andy
2022,19,6,normal,0,208.5,216.25,424.75,Sam
2022,19,7,normal,0,234.0,144.92000000000002,378.92,Howard
2022,19,8,normal,0,130.5,165.75,296.25,Rich
2022,19,9,normal,0,239.5,146.5,386.0,Rouse
2022,19,10,normal,0,224.5,201.59,426.09000000000003,Dave
2022,20,1,normal,0,157.5,217.17000000000002,374.67,Boyce
2022,20,2,normal,0,230.5,166.25,396.75,Alex
2022,20,3,normal,0,229.0,137.0,366.0,Garth
2022,20,4,normal,0,250.5,170.0,420.5,Chris
2022,20,5,normal,0,240.0,131.67,371.66999999999996,Andy
2022,20,6,normal,0,198.0,136.51,334.51,Sam
2022,20,7,normal,0,234.0,160.32999999999998,394.33,Howard
2022,20,8,normal,0,112.5,177.07999999999998,289.58,Rich
2022,20,9,normal,0,197.0,115.17,312.17,Rouse
2022,20,10,normal,0,211.5,171.09,382.59000000000003,Dave
2022,21,1,normal,0,281.0,210.25,491.25,Boyce
2022,21,2,normal,0,206.0,210.92000000000002,416.92,Alex
2022,21,3,normal,0,183.0,145.0,328.0,Garth
2022,21,4,normal,0,270.5,165.67000000000002,436.17,Chris
